Id,Label,Gender
a1,George Lucas,2
a2,Mark Hamill,2
a3,Harrison Ford,2
a4,Carrie Fisher,1
a6,Anthony Daniels,2
a7,Andrew Stanton,2
a8,Lee Unkrich,2
a10,Bob Peterson,2
a11,David Reynolds,2
a12,Alexander Gould,2
a13,Albert Brooks,2
a14,Ellen DeGeneres,1
a18,Brad Garrett,2
a19,Allison Janney,1
a20,Elizabeth Perkins,1
a22,Barry Humphries,2
a23,Bill Hunter,2
a24,Robert Zemeckis,2
a31,Tom Hanks,2
a32,Robin Wright,1
a33,Gary Sinise,2
a34,Mykelti Williamson,2
a35,Sally Field,1
a37,Alan Silvestri,2
a39,Sam Mendes,2
a40,Orson Welles,2
a42,Lars von Trier,2
a47,Björk,1
a48,Sean Bean,2
a49,Maria Bello,1
a50,Catherine Deneuve,1
a51,Richard Elfyn,2
a52,David Morse,2
a53,Peter Stormare,2
a54,Maurice Roeves,2
a56,Sophie Stuckey,1
a62,Bruce Willis,2
a63,Milla Jovovich,1
a64,Gary Oldman,2
a65,Ian Holm,2
a66,Chris Tucker,2
a85,Johnny Depp,2
a86,Bruce Brown,2
a93,Esther García,1
a98,Sarah Polley,1
a99,Amanda Plummer,1
a100,Scott Speedman,2
a101,Leonor Watling,1
a102,Deborah Harry,1
a103,Mark Ruffalo,2
a108,Peter Jackson,2
a109,Elijah Wood,2
a110,Viggo Mortensen,2
a112,Cate Blanchett,1
a113,Christopher Lee,2
a114,Orlando Bloom,2
a116,Keira Knightley,1
a118,Geoffrey Rush,2
a130,Kenny Baker,2
a131,Jake Gyllenhaal,2
a133,Peter Sarsgaard,2
a134,Jamie Foxx,2
a138,Quentin Tarantino,2
a139,Uma Thurman,1
a140,Lucy Liu,1
a141,David Carradine,2
a147,Michael Madsen,2
a150,RZA,2
a152,Jim Morrison,2
a154,Walter Murch,2
a155,Lucas Black,2
a164,Lior Ashkenazi,2
a165,Knut Berger,2
a166,Caroline Peters,1
a169,Hanns Zischler,2
a176,Kieran O'Brien,2
a177,Margo Stilley,1
a190,Clint Eastwood,2
a192,Morgan Freeman,2
a193,Gene Hackman,2
a198,Dan Castellaneta,2
a199,Julie Kavner,1
a200,Nancy Cartwright,1
a201,Michel Gondry,2
a204,Kate Winslet,1
a205,Kirsten Dunst,1
a206,Jim Carrey,2
a207,Tom Wilkinson,2
a209,Jane Adams,1
a211,Debbon Ayer,1
a212,David Cross,2
a213,Gerry Robert Byrne,2
a216,Josh Flitter,2
a223,Alejandro González Iñárritu,2
a224,David Cronenberg,2
a225,Ashton Holmes,2
a226,Heidi Hayes,0
a227,William Hurt,2
a228,Ed Harris,2
a229,Peter MacNeill,2
a230,Stephen McHattie,2
a231,Greg Bryk,2
a232,Kyle Schmid,2
a237,Aidan Devine,2
a240,Stanley Kubrick,2
a245,Keir Dullea,2
a258,Gael García Bernal,2
a260,Marco Pérez,2
a261,Goya Toledo,1
a263,Emilio Echevarría,2
a264,Jorge Salinas,2
a265,Rodrigo Murray,0
a266,Humberto Busto,2
a268,Rosa María Bianchi,0
a270,Adriana Barraza,1
a271,José Sefami,2
a279,Antonio Vega,0
a280,Terry Gilliam,2
a287,Brad Pitt,2
a288,Jon Seda,2
a289,Madeleine Stowe,1
a290,Christopher Plummer,2
a306,John Wagner,2
a312,Jon Brion,2
a313,Ellen Kuras,1
a325,Eminem,2
a326,Kim Basinger,1
a327,Mekhi Phifer,2
a328,Brittany Murphy,1
a333,Evan Jones,2
a334,Omar Benson Miller,0
a335,Michael Shannon,2
a336,Xzibit,2
a342,Eugene Byrd,2
a343,Taryn Manning,1
a346,Mike Bell,0
a348,William Goldman,2
a349,Scott Glenn,2
a350,Laura Linney,1
a351,Judy Davis,1
a352,Dennis Haysbert,2
a368,Reese Witherspoon,1
a369,Henry Bumstead,2
a378,Jonathan Pryce,2
a380,Robert De Niro,2
a381,Katherine Helmond,1
a382,Bob Hoskins,2
a383,Michael Palin,2
a385,Ian Richardson,2
a386,Peter Vaughan,2
a388,Jim Broadbent,2
a389,Alison Eastwood,1
a399,Mariola Fuentes,0
a400,Geraldine Chaplin,1
a402,Pina Bausch,1
a404,Melora Hardin,1
a410,John Carter Cash,2
a417,Ginnifer Goodwin,1
a418,Robert Patrick,2
a419,Tyler Hilton,2
a422,Waylon Payne,2
a424,Dallas Roberts,0
a425,Dan John Miller,2
a426,Larry Bagby,2
a427,Sandra Ellis Lafferty,1
a428,Dan Beene,2
a429,Lucas Till,2
a448,Hilary Swank,1
a449,Jay Baruchel,2
a450,Mike Colter,2
a451,Lucia Rijker,0
a452,Margo Martindale,1
a453,Riki Lindhome,1
a454,Michael Peña,2
a455,Paul Haggis,2
a477,Julie Walters,1
a478,Jamie Bell,2
a479,Jamie Draven,2
a480,Gary Lewis,2
a486,Wallace Wolodarsky,2
a487,Janine Birkett,0
a488,Steven Spielberg,2
a489,Kathleen Kennedy,1
a492,Janusz Kamiński,2
a496,Rick Carter,2
a500,Tom Cruise,2
a501,Dakota Fanning,1
a502,Miranda Otto,1
a503,Justin Chatwin,2
a504,Tim Robbins,2
a506,John Scurti,2
a507,Josh Friedman,0
a510,Tim Burton,2
a514,Jack Nicholson,2
a515,Glenn Close,1
a516,Annette Bening,1
a517,Pierce Brosnan,2
a518,Danny DeVito,2
a519,Martin Short,2
a520,Sarah Jessica Parker,1
a521,Michael J. Fox,2
a523,Tom Jones,2
a524,Natalie Portman,1
a525,Christopher Nolan,2
a526,Lukas Haas,2
a527,Jonathan Nolan,2
a529,Guy Pearce,2
a530,Carrie-Anne Moss,1
a531,Danny Elfman,2
a532,Joe Pantoliano,2
a534,Mark Boone Junior,2
a535,Russ Fega,2
a536,Jorja Fox,1
a537,Stephen Tobolowsky,2
a539,Thomas Lennon,2
a540,Callum Keith Rennie,2
a542,Kimberly Campbell,1
a543,Marianne Muellerleile,1
a547,Victoria Thomas,1
a550,Jennifer Todd,1
a557,Colleen Atwood,0
a559,Wally Pfister,2
a564,Richard Linklater,2
a569,Ethan Hawke,2
a572,Hanno Pöschl,0
a578,Ridley Scott,2
a580,Sandra Adair,1
a581,Michael Deeley,2
a583,Hampton Fancher,2
a585,Rutger Hauer,2
a586,Sean Young,1
a587,Edward James Olmos,2
a588,M. Emmet Walsh,2
a589,Daryl Hannah,1
a590,William Sanderson,2
a593,Joanna Cassidy,1
a608,Hayao Miyazaki,2
a613,Sumi Shimamoto,0
a615,Hisako Kyouda,1
a616,Gorō Naya,2
a619,Jōji Yanami,2
a625,Iemasa Kayumi,0
a628,Isao Takahata,2
a636,Joe Hisaishi,2
a638,Michael Mann,2
a639,Pieter Jan Brugge,2
a643,Gong Li,1
a644,Blanchard Ryan,1
a647,Dion Beebe,2
a649,Vernon Dobtcheff,2
a650,Karen Allen,1
a652,Paul Freeman,0
a654,Rodolphe Pauly,2
a655,John Rhys-Davies,2
a658,Alfred Molina,2
a659,Wolf Kahler,2
a660,Anthony Higgins,2
a664,Frank Marshall,2
a670,Ben Burtt,2
a675,Christian Ulmen,0
a677,Moritz Bleibtreu,2
a678,Martina Gedeck,1
a679,Franka Potente,1
a680,Corinna Harfouch,1
a681,Nina Hoss,1
a682,Uwe Ochsenknecht,2
a683,Jasmin Tabatabai,1
a684,Tom Schilling,2
a685,Nina Kronjäger,0
a688,Hermann Beyer,0
a692,Jennifer Ulrich,1
a693,Roshan Seth,0
a697,Michael Gwisdek,2
a702,Philip Tan,2
a707,Dan Aykroyd,2
a711,Robert Watts,2
a722,Jennifer Grey,1
a723,Patrick Swayze,2
a728,Kelly Bishop,1
a738,Sean Connery,2
a739,Alison Doody,1
a740,Julian Glover,2
a741,River Phoenix,2
a742,Michael Byrne,2
a743,Kevork Malikyan,2
a747,Alex Hyde-White,0
a749,Isla Blair,1
a762,Ali Suliman,2
a764,Amer Hlehel,2
a765,Hiam Abbass,1
a766,Ashraf Barhom,2
a776,Eddie Murphy,2
a777,Judge Reinhold,2
a778,John Ashton,2
a780,Ronny Cox,2
a781,Paul Reiser,2
a782,Steven Berkoff,2
a783,Jonathan Banks,2
a785,James Russo,2
a788,Art Kimbro,0
a801,Michael Glawogger,2
a819,Edward Norton,2
a820,Edward Furlong,2
a821,Beverly D'Angelo,1
a822,Avery Brooks,2
a824,Ethan Suplee,2
a825,Stacy Keach,2
a826,Fairuza Balk,1
a827,Elliott Gould,2
a828,Guy Torry,2
a829,William Russ,2
a830,Joe Cortese,2
a833,Alex Sol,2
a847,Ursula Buschhorn,0
a848,Hans Werner Meyer,2
a856,Ben Gazzara,2
a863,Orson Bean,2
a865,Michael Bay,2
a869,Gale Anne Hurd,1
a879,Billy Bob Thornton,2
a880,Ben Affleck,2
a882,Liv Tyler,1
a883,Will Patton,2
a884,Steve Buscemi,2
a886,William Fichtner,2
a887,Owen Wilson,2
a898,Mark Goldblatt,2
a900,Christopher Boyes,0
a901,Rita Lengyel,1
a902,Milton Welsh,2
a920,Jürgen Prochnow,2
a921,Brigitte Nielsen,1
a923,Dean Stockwell,2
a925,Paul Guilfoyle,2
a934,Russell Crowe,2
a935,Connie Nielsen,1
a937,Derek Jacobi,2
a938,Djimon Hounsou,2
a939,David Schofield,0
a940,John Shrapnel,2
a941,Tomas Arana,2
a942,Ralf Moeller,2
a952,Agustín Almodóvar,2
a953,Cecilia Roth,1
a954,Marisa Paredes,1
a955,Penélope Cruz,1
a958,Candela Peña,1
a962,Rosa Maria Sardà,0
a963,Toni Cantó,0
a964,Eloy Azorín,2
a973,Jason Flemyng,2
a974,Dexter Fletcher,2
a975,Nick Moran,2
a976,Jason Statham,2
a978,Steven Mackintosh,2
a980,Vinnie Jones,2
a982,Sting,2
a984,Nicholas Rowe,2
a990,Frank Harper,2
a992,Huggy Leaver,2
a994,Stephen Marcus,2
a995,Vas Blackwood,2
a1003,Jean Reno,2
a1004,Danny Aiello,2
a1005,Peter Appel,2
a1007,Don Creech,2
a1010,Michael Badalucco,2
a1017,Sonja Richter,1
a1018,Nikolaj Lie Kaas,2
a1019,Mads Mikkelsen,2
a1024,Ulf Pilgaard,2
a1032,Martin Scorsese,2
a1035,Paul Schrader,0
a1036,Cybill Shepherd,1
a1037,Harvey Keitel,2
a1038,Jodie Foster,1
a1044,Michael Chapman,2
a1058,Bob Gale,2
a1060,Dean Cundey,2
a1062,Christopher Lloyd,2
a1063,Lea Thompson,1
a1064,Crispin Glover,2
