Id,Label,Gender
a1,George Lucas,2
a2,Mark Hamill,2
a3,Harrison Ford,2
a4,Carrie Fisher,1
a7,Andrew Stanton,2
a8,Lee Unkrich,2
a9,Graham Walters,2
a10,Bob Peterson,2
a11,David Reynolds,2
a13,Albert Brooks,2
a14,Ellen DeGeneres,1
a22,Barry Humphries,2
a24,Robert Zemeckis,2
a26,Winston Groom,2
a27,Eric Roth,2
a28,Wendy Finerman,1
a29,Steve Tisch,2
a30,Steve Starkey,2
a31,Tom Hanks,2
a32,Robin Wright,1
a33,Gary Sinise,2
a35,Sally Field,1
a36,Don Burgess,2
a37,Alan Silvestri,2
a38,Arthur Schmidt,2
a39,Sam Mendes,2
a40,Orson Welles,2
a42,Lars von Trier,2
a43,John Fawcett,2
a44,Simon Maginn,2
a45,Stephen Massicotte,2
a47,Björk,1
a59,Luc Besson,2
a60,Patrice Ledoux,2
a61,Robert Mark Kamen,2
a62,Bruce Willis,2
a64,Gary Oldman,2
a66,Chris Tucker,2
a67,Erich Pommer,2
a68,Fritz Lang,2
a69,Gottfried Huppertz,0
a70,Karl Freund,2
a71,Günther Rittau,2
a85,Johnny Depp,2
a86,Bruce Brown,2
a90,Isabel Coixet,1
a93,Esther García,1
a95,Gaston Georis,0
a96,Gordon McLennan,0
a97,Nanci Kincaid,0
a98,Sarah Polley,1
a103,Mark Ruffalo,2
a104,Jean-Claude Larrieu,2
a105,Lisa Robison,1
a106,Alfonso Vilallonga,0
a108,Peter Jackson,2
a109,Elijah Wood,2
a110,Viggo Mortensen,2
a112,Cate Blanchett,1
a113,Christopher Lee,2
a114,Orlando Bloom,2
a117,Howard Shore,2
a118,Geoffrey Rush,2
a120,Dariusz Wolski,2
a122,Klaus Badelt,2
a123,Barrie M. Osborne,2
a126,Fran Walsh,1
a128,Philippa Boyens,1
a129,J.R.R. Tolkien,2
a131,Jake Gyllenhaal,2
a133,Peter Sarsgaard,2
a134,Jamie Foxx,2
a135,Bobby Cohen,2
a136,Sam Mercer,2
a138,Quentin Tarantino,2
a139,Uma Thurman,1
a142,William Broyles Jr.,2
a148,Anthony Swofford,2
a149,Robert Richardson,2
a150,RZA,2
a151,Roger Deakins,2
a152,Jim Morrison,2
a153,Thomas Newman,2
a154,Walter Murch,2
a155,Lucas Black,2
a156,Sally Menke,1
a157,Thea von Harbou,1
a159,Ivri Lider,0
a160,Eytan Fox,2
a161,Amir Harel,0
a162,Gal Uchovsky,0
a163,Yosef Grunfeld,0
a171,Tobias Hochstein,0
a172,Michael Winterbottom,2
a173,Andrew Eaton,0
a179,Marcel Zyskind,2
a182,Mat Whitecross,2
a183,Kouji Morimoto,2
a185,Katsuhiro Ōtomo,2
a186,Yoko Kanno,1
a187,Tensai Okamura,0
a190,Clint Eastwood,2
a192,Morgan Freeman,2
a193,Gene Hackman,2
a194,Richard Harris,2
a195,Lennie Niehaus,2
a197,David Silverman,2
a201,Michel Gondry,2
a202,Charlie Kaufman,2
a206,Jim Carrey,2
a209,Jane Adams,1
a212,David Cross,2
a213,Gerry Robert Byrne,2
a222,Pierre Bismuth,0
a223,Alejandro González Iñárritu,2
a224,David Cronenberg,2
a228,Ed Harris,2
a239,Jon Vitti,2
a240,Stanley Kubrick,2
a241,Arthur C. Clarke,2
a243,Geoffrey Unsworth,2
a244,Ray Lovejoy,2
a254,H.L. Bird,0
a255,Winston Ryder,0
a257,Victor Lyndon,0
a258,Gael García Bernal,2
a273,Guillermo Arriaga,2
a275,Rodrigo Prieto,2
a276,Luis Carballar,2
a277,Fernando Pérez Unda,2
a278,Gustavo Santaolalla,2
a279,Antonio Vega,0
a280,Terry Gilliam,2
a281,Janet Peoples,1
a282,Charles Roven,0
a283,Robert Cavallo,2
a284,Gary Levinsohn,2
a285,Robert Kosberg,2
a286,Lloyd Phillips,2
a287,Brad Pitt,2
a293,Roger Pratt,2
a294,Mick Audsley,2
a295,Imogen Pollard,0
a296,Robin Clarke,2
a297,Jay Meagher,0
a298,Chris Bender,2
a305,Josh Olson,0
a306,John Wagner,2
a307,Peter Suschitzky,2
a309,Pedro Almodóvar,2
a310,Ronald Sanders,2
a311,Michel Ruben,2
a312,Jon Brion,2
a313,Ellen Kuras,1
a321,Anthony Bregman,2
a322,Steve Golin,2
a323,Curtis Hanson,2
a324,Scott Silver,2
a326,Kim Basinger,1
a327,Mekhi Phifer,2
a329,Carol Fenelon,1
a330,Jay Rabinowitz,2
a331,Craig Kitson,2
a335,Michael Shannon,2
a339,Brian Grazer,2
a340,Jimmy Iovine,2
a347,Tom Rooker,2
a348,William Goldman,2
a355,David Baldacci,0
a356,Jack Green,2
a357,Hany Abu-Assad,2
a366,James Mangold,2
a368,Reese Witherspoon,1
a369,Henry Bumstead,2
a370,Jack G. Taylor Jr.,0
a371,Bill Coe,2
a372,Tom Stoppard,2
a373,Doug Jackson,2
a374,Charles McKeown,0
a375,Bub Asman,0
a376,Arnon Milchan,2
a377,Patrick Cassavetti,2
a379,Donald Harris,0
a380,Robert De Niro,2
a382,Bob Hoskins,2
a383,Michael Palin,2
a384,Joel Cox,2
a388,Jim Broadbent,2
a389,Alison Eastwood,1
a390,Irene Lamb,1
a391,Norman Garwood,2
a393,Rodney Glenn,0
a394,Bob Doyle,0
a400,Geraldine Chaplin,1
a403,Javier Aguirresarobe,2
a405,Alberto Iglesias,2
a407,Gill Dennis,2
a408,James Keach,2
a409,Cathy Konrad,1
a410,John Carter Cash,2
a413,José Salcedo,2
a414,Alan C. Blomquist,2
a423,Phyllis Huffman,1
a426,Larry Bagby,2
a432,Phedon Papamichael,2
a433,Michael McCusker,2
a434,Lisa Beach,1
a436,Sarah Katzman,1
a437,David J. Bomba,2
a448,Hilary Swank,1
a449,Jay Baruchel,2
a453,Riki Lindhome,1
a455,Paul Haggis,2
a457,Albert S. Ruddy,2
a459,David Potaux-Razel,0
a460,Tom Stern,2
a461,Deborah Hopper,1
a462,Greg Brenman,2
a463,Jonathan Finn,2
a464,Charles Brand,2
a465,Tessa Ross,1
a466,David M. Thompson,2
a467,Natascha Wharton,0
a468,Stephen Daldry,2
a469,Stephen Warbeck,2
a470,Lee Hall,2
a471,Maria Djurkovic,1
a472,Mark Holding,0
a473,Brian Tufano,2
a474,Jina Jay,1
a475,Tatiana Lund,0
a476,John Wilson,2
a486,Wallace Wolodarsky,2
a488,Steven Spielberg,2
a489,Kathleen Kennedy,1
a490,Colin Wilson,2
a491,John Williams,2
a492,Janusz Kamiński,2
a493,Michael Kahn,2
a494,Terri Taylor,1
a495,Debra Zane,1
a496,Rick Carter,2
a497,Doug J. Meerdink,0
a498,Joanna Johnston,1
a499,Cari Finken,0
a500,Tom Cruise,2
a504,Tim Robbins,2
a507,Josh Friedman,0
a508,David Koepp,2
a510,Tim Burton,2
a511,Larry J. Franco,2
a512,Laurie Parker,1
a513,Jonathan Gems,0
a514,Jack Nicholson,2
a515,Glenn Close,1
a517,Pierce Brosnan,2
a518,Danny DeVito,2
a519,Martin Short,2
a520,Sarah Jessica Parker,1
a524,Natalie Portman,1
a525,Christopher Nolan,2
a527,Jonathan Nolan,2
a531,Danny Elfman,2
a533,Victor Herbert,0
a535,Russ Fega,2
a537,Stephen Tobolowsky,2
a539,Thomas Lennon,2
a541,Chris Lebenzon,2
a545,Matthew Barry,2
a546,Jeanne McCarthy,1
a547,Victoria Thomas,1
a548,Wynn Thomas,0
a550,Jennifer Todd,1
a551,Suzanne Todd,1
a552,Elaine Dysinger,1
a553,John Dexter,2
a554,Aaron Ryder,2
a555,Nancy Haigh,1
a556,Emma Thomas,1
a557,Colleen Atwood,0
a558,David Julyan,2
a559,Wally Pfister,2
a560,Patti Podesta,1
a561,John Papsidera,0
a562,Richard LeGrand Jr.,0
a563,Dody Dorn,1
a564,Richard Linklater,2
a566,Anne Walker-McBay,1
a568,Kim Krizan,1
a569,Ethan Hawke,2
a576,Lee Daniel,0
a577,Fred Frith,2
a578,Ridley Scott,2
a580,Sandra Adair,1
a581,Michael Deeley,2
a582,Sheri Galloway,0
a583,Hampton Fancher,2
a584,Philip K. Dick,2
a587,Edward James Olmos,2
a594,Jordan Cronenweth,2
a595,Vangelis,0
a596,Lawrence G. Paull,2
a597,Jane Feinberg,1
a598,Mike Fenton,2
a599,Marci Liroff,1
a600,Marsha Nakashima,1
a601,David L. Snyder,2
a602,Linda DeScenna,1
a603,Leslie McCarthy-Frankenheimer,0
a605,Michael Kaplan,2
a606,Charles Knode,0
a607,Zhang Yimou,2
a608,Hayao Miyazaki,2
a627,Rick Dempsey,0
a628,Isao Takahata,2
a630,Mark Henley,0
a631,Ned Lott,0
a632,Naoki Kaneko,0
a633,Tomoko Kida,0
a634,Shouji Sakai,0
a635,Shigeharu Shiba,0
a636,Joe Hisaishi,2
a638,Michael Mann,2
a639,Pieter Jan Brugge,2
a640,Chris Kentis,2
a642,Laura Lau,1
a647,Dion Beebe,2
a648,Philip Kaufman,2
a652,Paul Freeman,0
a664,Frank Marshall,2
a665,Howard G. Kazanjian,2
a666,Douglas Slocombe,2
a668,Mary Selway,1
a669,Norman Reynolds,2
a670,Ben Burtt,2
a671,Richard L. Anderson,0
a672,Oskar Roehler,2
a673,Bernd Eichinger,2
a674,Oliver Berben,2
a675,Christian Ulmen,0
a677,Moritz Bleibtreu,2
a686,Willard Huyck,2
a687,Gloria Katz,1
a700,Carl-Friedrich Koschnick,0
a702,Philip Tan,2
a703,Peter R. Adam,2
a707,Dan Aykroyd,2
a708,Martin Todsharow,2
a709,Ingrid Henn,0
a710,An Dorthe Braker,0
a711,Robert Watts,2
a715,Elliot Scott,2
a716,Emile Ardolino,2
a717,Eleanor Bergstein,1
a718,Linda Gottlieb,1
a719,John Morris,2
a720,Jeff Jur,2
a721,Peter C. Frank,2
a729,Lonny Price,2
a735,Arthur F. Repola,2
a736,Menno Meyjes,2
a737,Jeffrey Boam,2
a738,Sean Connery,2
a747,Alex Hyde-White,0
a750,Maggie Cartier,0
a751,Valorie Massalas,1
a752,Judy Taylor,1
a758,Bero Beyer,0
a759,Antoine Héberlé,0
a760,Sander Vos,0
a767,Jina Sumedi,0
a768,Pierre Hodgson,0
a769,Martin Brest,2
a770,Jerry Bruckheimer,2
a771,Don Simpson,2
a772,Danilo Bach,2
a774,Daniel Petrie Jr.,2
a776,Eddie Murphy,2
a777,Judge Reinhold,2
a785,James Russo,2
