Id,imdbId,Label,Year,Genre
m315946,tt3155794,Passage of Venus,1874,Documentary
m194079,tt2221420,Sallie Gardner at a Gallop,1878,Documentary
m426903,tt5459794,Buffalo Running,1883,Documentary
m159897,tt2075247,Man Walking Around a Corner,1887,Documentary
m16464,tt0343112,Traffic Crossing Leeds Bridge,1888,Documentary
m96882,tt1758563,Accordion Player,1888,Documentary
m32571,tt0361921,"Monkeyshines, No. 1",1890,Comedy
m33315,tt0416046,"Monkeyshines, No. 2",1890,
m33317,tt0416047,"Monkeyshines, No. 3",1890,
m33316,tt1202028,London's Trafalgar Square,1890,Documentary
m386743,tt5285442,Mosquinha,1890,
m33229,tt0241373,Dickson Greeting,1891,Documentary
m33318,tt0241715,Men Boxing,1891,"Action,Documentary"
m104852,tt0241763,Newark Athlete,1891,Documentary
m336380,tt3201916,Je Vous Aime,1891,Documentary
m312452,tt3508566,La Vague,1891,Documentary
m416258,tt5447082,Two Fencers,1891,
m88013,tt0000003,Poor Pierrot,1892,"Comedy,Animation"
m105153,tt0241446,Fencing,1892,
m105157,tt0241524,A Hand Shake,1892,
m16624,tt0000005,Blacksmith Scene,1893,Drama
m16612,tt0000001,Carmencita,1894,Documentary
m105158,tt0000008,Edison Kinetoscopic Record of a Sneeze,1894,Documentary
m104396,tt0177707,Dickson Experimental Sound Film,1894,
m186019,tt0203853,Souvenir Strip of the Edison Kinetoscope,1894,Documentary
m144393,tt0229220,Annie Oakley,1894,Documentary
m152218,tt0229235,The Barbershop,1894,Documentary
m159898,tt0241267,The Boxing Cats (Prof. Welton's),1894,Comedy
m189054,tt0277115,"Luis Martinetti, Contortionist",1894,Documentary
m194089,tt0285903,The Pickaninny Dance from the “Passing Show”,1894,Documentary
m155107,tt0309402,Buffalo Dance,1894,Documentary
m159910,tt0325518,Hadj Cheriff,1894,
m127224,tt0326158,Sioux Ghost Dance,1894,Documentary
m154339,tt2049440,Falling Cat,1894,Documentary
m774,tt0000010,Workers Leaving the Lumière Factory,1895,Documentary
m82120,tt0000014,Tables Turned on the Gardener,1895,Comedy
m127762,tt0000023,Baignade en Mer,1895,Documentary
